,FA,FS,NT,SR,SS,TA,TS,CN,total
hsa-mir-4655-5p,0.0,4.0,0.0,4.0,4.0,56.0,32.0,0.0,100.0
hsa-mir-6131,55.0,0.0,6.0,0.0,27.0,0.0,2.0,10.0,100.0
hsa-mir-3921,0.0,0.0,1.0,18.0,7.0,70.0,4.0,0.0,100.0
hsa-mir-4756-3p,4.0,4.0,65.0,0.0,4.0,1.0,18.0,4.0,100.0
hsa-mir-370-5p,0.0,0.0,0.0,0.0,10.0,0.0,10.0,80.0,100.0
hsa-mir-6782-3p,1.0,0.0,0.0,4.0,7.0,18.0,70.0,0.0,100.0
hsa-mir-711,0.0,5.0,0.0,8.0,0.0,5.0,82.0,0.0,100.0
hsa-mir-4522,0.0,1.0,6.0,14.0,28.0,3.0,3.0,45.0,100.0
hsa-mir-924,0.0,6.0,6.0,2.0,6.0,8.0,24.0,48.0,100.0
hsa-mir-10392-5p,3.0,3.0,26.0,3.0,49.0,3.0,13.0,0.0,100.0
hsa-mir-3664-5p,0.0,66.0,4.0,3.0,4.0,4.0,0.0,19.0,100.0
hsa-mir-5188,6.0,0.0,0.0,52.0,26.0,2.0,6.0,8.0,100.0
hsa-mir-4750-5p,0.0,0.0,6.0,2.0,91.0,0.0,1.0,0.0,100.0
hsa-mir-3683,7.0,3.0,55.0,0.0,31.0,3.0,1.0,0.0,100.0
hsa-mir-3186-3p,0.0,0.0,79.0,3.0,9.0,9.0,0.0,0.0,100.0
hsa-mir-7853-5p,0.0,56.0,2.0,0.0,0.0,4.0,4.0,34.0,100.0
hsa-mir-557,12.0,0.0,3.0,3.0,48.0,28.0,3.0,3.0,100.0
hsa-mir-9901,3.0,32.0,1.0,47.0,0.0,3.0,14.0,0.0,100.0
hsa-mir-1908-5p,5.0,0.0,1.0,4.0,19.0,63.0,4.0,4.0,100.0
hsa-mir-3974,2.0,4.0,0.0,8.0,8.0,0.0,70.0,8.0,100.0
hsa-mir-100-3p,4.0,32.0,0.0,0.0,4.0,4.0,0.0,56.0,100.0
hsa-mir-2115-3p,3.0,0.0,30.0,7.0,53.0,3.0,1.0,3.0,100.0
hsa-mir-6768-3p,0.0,3.0,60.0,0.0,0.0,4.0,3.0,30.0,100.0
hsa-mir-4700-3p,30.0,10.0,0.0,0.0,30.0,0.0,30.0,0.0,100.0
hsa-mir-24-1-5p,4.0,0.0,0.0,4.0,56.0,4.0,32.0,0.0,100.0
hsa-mir-3689d,30.0,0.0,61.0,0.0,0.0,9.0,0.0,0.0,100.0
hsa-mir-541-5p,57.0,3.0,6.0,27.0,1.0,3.0,3.0,0.0,100.0
hsa-mir-6754-5p,62.0,21.0,0.0,1.0,4.0,4.0,4.0,4.0,100.0
hsa-mir-3126-3p,14.0,0.0,0.0,12.0,50.0,12.0,0.0,12.0,100.0
hsa-mir-3650,0.0,3.0,3.0,30.0,0.0,3.0,42.0,19.0,100.0
hsa-mir-1281,1.0,6.0,24.0,6.0,55.0,6.0,2.0,0.0,100.0
hsa-mir-2681-3p,1.0,7.0,57.0,0.0,7.0,28.0,0.0,0.0,100.0
hsa-mir-518c-5p,12.0,4.0,12.0,12.0,12.0,0.0,48.0,0.0,100.0
hsa-mir-6834-5p,0.0,26.0,2.0,6.0,6.0,6.0,0.0,54.0,100.0
hsa-mir-6863,0.0,0.0,55.0,0.0,14.0,28.0,3.0,0.0,100.0
hsa-mir-4468,5.0,5.0,1.0,56.0,5.0,22.0,5.0,1.0,100.0
hsa-mir-383-3p,2.0,15.0,5.0,0.0,15.0,0.0,0.0,63.0,100.0
hsa-mir-2054,4.0,5.0,0.0,0.0,81.0,5.0,0.0,5.0,100.0
hsa-mir-548at-5p,27.0,1.0,3.0,3.0,16.0,47.0,0.0,3.0,100.0
hsa-mir-4474-3p,1.0,4.0,4.0,18.0,4.0,65.0,0.0,4.0,100.0
hsa-mir-7845-5p,54.0,2.0,4.0,33.0,0.0,0.0,4.0,3.0,100.0
hsa-mir-5787,14.0,0.0,33.0,3.0,1.0,3.0,43.0,3.0,100.0
hsa-mir-513a-5p,3.0,39.0,31.0,6.0,0.0,15.0,3.0,3.0,100.0
hsa-mir-505-3p,4.0,0.0,0.0,4.0,56.0,0.0,32.0,4.0,100.0
hsa-mir-554,3.0,4.0,14.0,0.0,29.0,47.0,3.0,0.0,100.0
hsa-mir-1179,19.0,63.0,9.0,1.0,4.0,4.0,0.0,0.0,100.0
hsa-mir-4439,0.0,0.0,1.0,53.0,0.0,30.0,0.0,16.0,100.0
hsa-mir-328-3p,13.0,0.0,27.0,3.0,3.0,3.0,48.0,3.0,100.0
hsa-mir-4782-5p,0.0,0.0,1.0,72.0,7.0,20.0,0.0,0.0,100.0
hsa-mir-4804-3p,0.0,0.0,84.0,4.0,0.0,6.0,0.0,6.0,100.0
hsa-mir-1250-3p,4.0,35.0,0.0,4.0,4.0,49.0,4.0,0.0,100.0
hsa-mir-3619-3p,65.0,8.0,4.0,4.0,18.0,0.0,0.0,1.0,100.0
hsa-mir-508-5p,25.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,100.0
hsa-mir-206,13.0,0.0,6.0,1.0,27.0,47.0,3.0,3.0,100.0
hsa-mir-519b-3p,0.0,2.0,0.0,6.0,0.0,7.0,6.0,79.0,100.0
hsa-mir-6892-5p,28.0,3.0,3.0,46.0,0.0,17.0,3.0,0.0,100.0
hsa-mir-6769b-5p,0.0,2.0,53.0,0.0,28.0,14.0,0.0,3.0,100.0
hsa-mir-514b-3p,13.0,0.0,3.0,4.0,13.0,0.0,13.0,54.0,100.0
hsa-mir-4634,0.0,0.0,0.0,10.0,0.0,0.0,80.0,10.0,100.0
hsa-mir-3938,49.0,3.0,3.0,14.0,30.0,1.0,0.0,0.0,100.0
hsa-mir-491-5p,5.0,46.0,3.0,3.0,13.0,1.0,3.0,26.0,100.0
hsa-mir-4671-5p,8.0,0.0,64.0,4.0,8.0,0.0,8.0,8.0,100.0
hsa-mir-638,1.0,0.0,0.0,57.0,7.0,0.0,7.0,28.0,100.0
hsa-mir-4328,35.0,40.0,0.0,4.0,17.0,0.0,3.0,1.0,100.0
hsa-mir-5692c,0.0,2.0,0.0,50.0,6.0,14.0,0.0,28.0,100.0
hsa-mir-769-5p,0.0,26.0,0.0,0.0,9.0,6.0,6.0,53.0,100.0
hsa-mir-11181-3p,0.0,4.0,5.0,58.0,0.0,5.0,23.0,5.0,100.0
hsa-mir-574-3p,2.0,0.0,6.0,6.0,4.0,27.0,55.0,0.0,100.0
hsa-mir-129-1-3p,2.0,2.0,4.0,0.0,32.0,1.0,6.0,53.0,100.0
hsa-mir-11400,30.0,0.0,0.0,10.0,30.0,30.0,0.0,0.0,100.0
hsa-mir-3714,0.0,0.0,0.0,12.0,88.0,0.0,0.0,0.0,100.0
hsa-mir-4251,0.0,17.0,3.0,40.0,1.0,35.0,4.0,0.0,100.0
hsa-mir-95-3p,6.0,6.0,0.0,28.0,52.0,0.0,6.0,2.0,100.0
hsa-mir-4260,0.0,8.0,0.0,1.0,91.0,0.0,0.0,0.0,100.0
hsa-mir-765,58.0,0.0,0.0,14.0,14.0,0.0,14.0,0.0,100.0
hsa-mir-512-5p,0.0,4.0,4.0,4.0,17.0,64.0,3.0,4.0,100.0
hsa-mir-296-3p,1.0,0.0,0.0,9.0,9.0,0.0,9.0,72.0,100.0
hsa-mir-548v,4.0,0.0,57.0,0.0,32.0,1.0,2.0,4.0,100.0
hsa-mir-548ag,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
